question,item,number_responses,prop,perc,ymax,ymin,lab_pos,lab_perc
"In your opinion, how important is pre-publication archiving for your field?",Moderately important,27,0.23893805309734514,23.89,0.23893805309734514,0,0.11946902654867257,23.89%
"In your opinion, how important is pre-publication archiving for your field?",Very important,24,0.21238938053097345,21.24,0.4513274336283186,0.23893805309734514,0.3451327433628319,21.24%
"In your opinion, how important is pre-publication archiving for your field?",Extremely important,12,0.10619469026548672,10.62,0.5575221238938053,0.4513274336283186,0.504424778761062,10.62%
"In your opinion, how important is pre-publication archiving for your field?",I don’t know/prefer not to answer,13,0.11504424778761062,11.5,0.672566371681416,0.5575221238938053,0.6150442477876106,11.5%
"In your opinion, how important is pre-publication archiving for your field?",Not at all important,18,0.1592920353982301,15.93,0.831858407079646,0.672566371681416,0.752212389380531,15.93%
"In your opinion, how important is pre-publication archiving for your field?",Slightly important,19,0.168141592920354,16.81,1,0.831858407079646,0.915929203539823,16.81%
What is your experience with pre-publication archiving?,I have extensive experience with preprint archiving,25,0.22123893805309736,22.12,0.22123893805309736,0,0.11061946902654868,22.12%
What is your experience with pre-publication archiving?,I don’t know/prefer not to answer,6,0.05309734513274336,5.31,0.2743362831858407,0.22123893805309736,0.24778761061946902,5.31%
What is your experience with pre-publication archiving?,I am aware of pre-publication archiving but have not used it,38,0.336283185840708,33.63,0.6106194690265487,0.2743362831858407,0.4424778761061947,33.63%
What is your experience with pre-publication archiving?,"Until now, I was unaware of ""pre-publication archiving""",21,0.18584070796460178,18.58,0.7964601769911505,0.6106194690265487,0.7035398230088497,18.58%
What is your experience with pre-publication archiving?,I have some experience with pre-publication archiving,23,0.20353982300884957,20.35,1,0.7964601769911505,0.8982300884955752,20.35%
The following are possible concerns that researchers could have about uploading a manuscript to a pre-publication archive before submitting it for peer review. Which of these concerns would apply to you?,I do not share any of these concerns,30,0.26548672566371684,26.55,0.26548672566371684,0,0.13274336283185842,26.55%
The following are possible concerns that researchers could have about uploading a manuscript to a pre-publication archive before submitting it for peer review. Which of these concerns would apply to you?,Other,3,0.02654867256637168,2.65,0.2920353982300885,0.26548672566371684,0.27876106194690264,2.65%
The following are possible concerns that researchers could have about uploading a manuscript to a pre-publication archive before submitting it for peer review. Which of these concerns would apply to you?,Some journals might not publish findings that are uploaded to a pre-publication archive,43,0.3805309734513274,38.05,0.672566371681416,0.2920353982300885,0.48230088495575224,38.05%
The following are possible concerns that researchers could have about uploading a manuscript to a pre-publication archive before submitting it for peer review. Which of these concerns would apply to you?,Other people might copy my research and publish it before I do,16,0.1415929203539823,14.16,0.8141592920353983,0.672566371681416,0.7433628318584071,14.16%
The following are possible concerns that researchers could have about uploading a manuscript to a pre-publication archive before submitting it for peer review. Which of these concerns would apply to you?,Non-peer-reviewed findings might add noise to the literature,12,0.10619469026548672,10.62,0.9203539823008849,0.8141592920353983,0.8672566371681416,10.62%
The following are possible concerns that researchers could have about uploading a manuscript to a pre-publication archive before submitting it for peer review. Which of these concerns would apply to you?,"Availability of the pre-publication manuscript might highlight differences (e.g., errors in analysis, revisions to hypotheses) between the original conception of the research and the ultimately published work",5,0.04424778761061947,4.42,0.9646017699115044,0.9203539823008849,0.9424778761061947,4.42%
The following are possible concerns that researchers could have about uploading a manuscript to a pre-publication archive before submitting it for peer review. Which of these concerns would apply to you?,Making my work available pre-publication might reduce the number of citations to the ultimately published work,4,0.035398230088495575,3.54,1,0.9646017699115044,0.9823008849557522,3.54%
